Time[sec], DTG[m], Vwx[m/s], Vwy[m/s], Vwx/dh[(m_horz/s)/m_vert], Vwy/dh[(m_horz/s)/m_vert], Temp[K]
390,164275,0,0,-0,-0,218.8080001
391,164037,0,0,-0,-0,218.8080001
392,163798,0,0,-0,-0,218.8080001
393,163559,0,0,-0,-0,218.8080001
394,163320,0,0,-0,-0,218.8080001
395,163081,0,0,-0,-0,218.8080001
396,162842,0,0,-0,-0,218.8080001
397,162603,0,0,-0,-0,218.8080001
398,162363,0,0,-0,-0,218.8080001
399,162124,0,0,-0,-0,218.8080001
400,161885,0,0,-0,-0,218.8080001
401,161646,0,0,-0,-0,218.8080001
402,161406,0,0,-0,-0,218.8080001
403,161167,0,0,-0,-0,218.8080001
404,160928,0,0,-0,-0,218.8080001
405,160689,0,0,-0,-0,218.8080001
406,160449,0,0,-0,-0,218.8080001
407,160210,0,0,-0,-0,218.8080001
408,159971,0,0,-0,-0,218.8080001
409,159731,0,0,-0,-0,218.8080001
410,159492,0,0,-0,-0,218.8080001
411,159253,0,0,-0,-0,218.8080001
412,159013,0,0,-0,-0,218.8080001
413,158774,0,0,-0,-0,218.8080001
414,158535,0,0,-0,-0,218.8080001
415,158295,0,0,-0,-0,218.8080001
416,158056,0,0,-0,-0,218.8080001
417,157817,0,0,-0,-0,218.8080001
418,157578,0,0,-0,-0,218.8080001
419,157338,0,0,-0,-0,218.8080001
420,157099,0,0,-0,-0,218.8080001
421,156860,0,0,-0,-0,218.8080001
422,156620,0,0,-0,-0,218.8080001
423,156381,0,0,-0,-0,218.8080001
424,156142,0,0,-0,-0,218.8080001
425,155902,0,0,-0,-0,218.8080001
426,155663,0,0,-0,-0,218.8080001
427,155424,0,0,-0,-0,218.8080001
428,155185,0,0,-0,-0,218.8080001
429,154945,0,0,-0,-0,218.8080001
430,154706,0,0,-0,-0,218.8080001
431,154467,0,0,-0,-0,218.8080001
432,154227,0,0,-0,-0,218.8080001
433,153988,0,0,-0,-0,218.8080001
434,153749,0,0,-0,-0,218.8080001
435,153510,0,0,-0,-0,218.8080001
436,153270,0,0,-0,-0,218.8080001
437,153031,0,0,-0,-0,218.8080001
438,152792,0,0,-0,-0,218.8080001
439,152552,0,0,-0,-0,218.8080001
440,152313,0,0,-0,-0,218.8080001
441,152074,0,0,-0,-0,218.8080001
442,151834,0,0,-0,-0,218.8080001
443,151595,0,0,-0,-0,218.8080001
444,151356,0,0,-0,-0,218.8080001
445,151117,0,0,-0,-0,218.8080001
446,150877,0,0,-0,-0,218.8080001
447,150638,0,0,-0,-0,218.8080001
448,150399,0,0,-0,-0,218.8080001
449,150159,0,0,-0,-0,218.8080001
450,149920,0,0,-0,-0,218.8080001
451,149681,0,0,-0,-0,218.8080001
452,149442,0,0,-0,-0,218.8080001
453,149202,0,0,-0,-0,218.8080001
454,148963,0,0,-0,-0,218.8080001
455,148724,0,0,-0,-0,218.8080001
456,148484,0,0,-0,-0,218.8080001
457,148245,0,0,-0,-0,218.8080001
458,148006,0,0,-0,-0,218.8080001
459,147766,0,0,-0,-0,218.8080001
460,147527,0,0,-0,-0,218.8080001
461,147288,0,0,-0,-0,218.8080001
462,147049,0,0,-0,-0,218.8080001
463,146809,0,0,-0,-0,218.8080001
464,146571,0,0,-0,-0,218.8080001
465,146332,0,0,-0,-0,218.8080001
466,146093,0,0,-0,-0,218.8080001
467,145855,0,0,-0,-0,218.8080001
468,145617,0,0,-0,-0,218.8080001
469,145380,0,0,-0,-0,218.8080001
470,145142,0,0,-0,-0,218.8080001
471,144905,0,0,-0,-0,218.8080001
472,144669,0,0,-0,-0,218.8080001
473,144432,0,0,-0,-0,218.8080001
474,144196,0,0,-0,-0,218.8080001
475,143960,0,0,-0,-0,218.8080001
476,143724,0,0,-0,-0,218.8080001
477,143489,0,0,-0,-0,218.8080001
478,143253,0,0,-0,-0,218.8080001
479,143018,0,0,-0,-0,218.8080001
480,142783,0,0,-0,-0,218.8080001
481,142548,0,0,-0,-0,218.8080001
482,142313,0,0,-0,-0,218.8080001
483,142078,0,0,-0,-0,218.8080001
484,141844,0,0,-0,-0,218.8080001
485,141609,0,0,-0,-0,218.8080001
486,141375,0,0,-0,-0,218.8080001
487,141141,0,0,-0,-0,218.8080001
488,140906,0,0,-0,-0,218.8080001
489,140672,0,0,-0,-0,218.8080001
490,140438,0,0,-0,-0,218.8080001
491,140204,0,0,-0,-0,218.8080001
492,139970,0,0,-0,-0,218.8080001
493,139737,0,0,-0,-0,218.8080001
494,139503,0,0,-0,-0,218.8080001
495,139269,0,0,-0,-0,218.8080001
496,139036,0,0,-0,-0,218.8080001
497,138802,0,0,-0,-0,218.8080001
498,138569,0,0,-0,-0,218.8080001
499,138335,0,0,-0,-0,218.8080001
500,138102,0,0,-0,-0,218.8080001
501,137868,0,0,-0,-0,218.8080001
502,137635,0,0,-0,-0,218.8080001
503,137402,0,0,-0,-0,218.8080001
504,137169,0,0,-0,-0,218.8080001
505,136935,0,0,-0,-0,218.8080001
506,136702,0,0,-0,-0,218.8080001
507,136469,0,0,-0,-0,218.8080001
508,136236,0,0,-0,-0,218.8080001
509,136003,0,0,-0,-0,218.8080001
510,135770,0,0,-0,-0,218.8080001
511,135537,0,0,-0,-0,218.8080001
512,135304,0,0,-0,-0,218.8080001
513,135071,0,0,-0,-0,218.8080001
514,134838,0,0,-0,-0,218.8080001
515,134605,0,0,-0,-0,218.8080001
516,134372,0,0,-0,-0,218.8080001
517,134139,0,0,-0,-0,218.8080001
518,133906,0,0,-0,-0,218.8080001
519,133674,0,0,-0,-0,218.8080001
520,133441,0,0,-0,-0,218.8080001
521,133208,0,0,-0,-0,218.8080001
522,132975,0,0,-0,-0,218.8080001
523,132742,0,0,-0,-0,218.8080001
524,132510,0,0,-0,-0,218.8206798
525,132277,0,0,-0,-0,218.8462373
526,132045,0,0,-0,-0,218.8842763
527,131814,0,0,-0,-0,218.9338063
528,131582,0,0,-0,-0,218.9934404
529,131351,0,0,-0,-0,219.0623862
530,131113,0,0,-0,-0,219.1404455
531,130876,0,0,-0,-0,219.2270239
532,130639,0,0,-0,-0,219.3211309
533,130402,0,0,-0,-0,219.4213796
534,130165,0,0,-0,-0,219.5265813
535,129928,0,0,-0,-0,219.6353492
536,129692,0,0,-0,-0,219.7464945
537,129455,0,0,-0,-0,219.8594229
538,129218,0,0,-0,-0,219.9729457
539,128982,0,0,-0,-0,220.0866666
540,128745,0,0,-0,-0,220.2003875
541,128509,0,0,-0,-0,220.313514
542,128272,0,0,-0,-0,220.425848
543,128035,0,0,-0,-0,220.5373896
544,127798,0,0,-0,-0,220.6479405
545,127561,0,0,-0,-0,220.7571047
546,127323,0,0,-0,-0,220.8642876
547,127086,0,0,-0,-0,220.9681025
548,126849,0,0,-0,-0,221.0673606
549,126611,0,0,-0,-0,221.1622601
550,126373,0,0,-0,-0,221.2526028
551,126135,0,0,-0,-0,221.338785
552,125898,0,0,-0,-0,221.421401
553,125660,0,0,-0,-0,221.500649
554,125422,0,0,-0,-0,221.5775196
555,125184,0,0,-0,-0,221.6524089
556,124947,0,0,-0,-0,221.7257133
557,124709,0,0,-0,-0,221.7982253
558,124471,0,0,-0,-0,221.8701428
559,124234,0,0,-0,-0,221.9418623
560,123997,0,0,-0,-0,222.0133836
561,123760,0,0,-0,-0,222.0853011
562,123523,0,0,-0,-0,222.1572187
563,123286,0,0,-0,-0,222.2297306
564,123049,0,0,-0,-0,222.3024407
565,122812,0,0,-0,-0,222.3757451
566,122576,0,0,-0,-0,222.4494457
567,122339,0,0,-0,-0,222.5237407
568,122103,0,0,-0,-0,222.5984319
569,121867,0,0,-0,-0,222.6737175
570,121631,0,0,-0,-0,222.7495975
571,121396,0,0,-0,-0,222.8260718
572,121159,0,0,-0,-0,222.9029424
573,120923,0,0,-0,-0,222.9802092
574,120688,0,0,-0,-0,223.0580703
575,120453,0,0,-0,-0,223.1361296
576,120218,0,0,-0,-0,223.2147833
577,119984,0,0,-0,-0,223.2938331
578,119751,0,0,-0,-0,223.3732793
579,119518,0,0,-0,-0,223.4533197
580,119285,0,0,-0,-0,223.5337565
581,119053,0,0,-0,-0,223.6147875
582,118822,0,0,-0,-0,223.696413
583,118591,0,0,-0,-0,223.7788309
584,118360,0,0,-0,-0,223.8616451
585,118130,0,0,-0,-0,223.9450536
586,117900,0,0,-0,-0,224.0288583
587,117671,0,0,-0,-0,224.1132575
588,117442,0,0,-0,-0,224.1980528
589,117213,0,0,-0,-0,224.2830463
590,116985,0,0,-0,-0,224.368436
591,116757,0,0,-0,-0,224.4538257
592,116529,0,0,-0,-0,224.5392155
593,116302,0,0,-0,-0,224.6246052
594,116075,0,0,-0,-0,224.7099949
595,115848,0,0,-0,-0,224.7949884
596,115621,0,0,-0,-0,224.88018
597,115395,0,0,-0,-0,224.9649753
598,115169,0,0,-0,-0,225.0495726
599,114943,0,0,-0,-0,225.1339717
600,114717,0,0,-0,-0,225.2181727
601,114492,0,0,-0,-0,225.3021756
602,114267,0,0,-0,-0,225.3859803
603,114042,0,0,-0,-0,225.469587
604,113817,0,0,-0,-0,225.5527974
605,113592,0,0,-0,-0,225.6360078
606,113368,0,0,-0,-0,225.7188219
607,113144,0,0,-0,-0,225.801438
608,112920,0,0,-0,-0,225.8836578
609,112697,0,0,-0,-0,225.9656795
610,112473,0,0,-0,-0,226.047503
611,112250,0,0,-0,-0,226.128336
612,112027,0,0,-0,-0,226.2079802
613,111804,0,0,-0,-0,226.2864357
614,111581,0,0,-0,-0,226.3639007
615,111358,0,0,-0,-0,226.4405731
616,111136,0,0,-0,-0,226.5166512
617,110914,0,0,-0,-0,226.5921349
618,110691,0,0,-0,-0,226.6670243
