Time[sec], DTG[m], Vwx[m/s], Vwy[m/s], Vwx/dh[(m_horz/s)/m_vert], Vwy/dh[(m_horz/s)/m_vert], Temp[K]
647,104315,0,0,-0,-0,228.8489198
648,104097,0,0,-0,-0,228.9247998
649,103879,0,0,-0,-0,229.0006797
650,103662,0,0,-0,-0,229.0765597
651,103445,0,0,-0,-0,229.1524396
652,103227,0,0,-0,-0,229.2283196
653,103010,0,0,-0,-0,229.3041996
654,102793,0,0,-0,-0,229.3798814
655,102576,0,0,-0,-0,229.4557614
656,102359,0,0,-0,-0,229.5316413
657,102143,0,0,-0,-0,229.6075213
658,101926,0,0,-0,-0,229.6832031
659,101710,0,0,-0,-0,229.7590831
660,101494,0,0,-0,-0,229.8347649
661,101277,0,0,-0,-0,229.9106449
662,101061,0,0,-0,-0,229.9863267
663,100846,0,0,-0,-0,230.0620086
664,100630,0,0,-0,-0,230.1378885
665,100414,0,0,-0,-0,230.2135704
666,100199,0,0,-0,-0,230.2892522
667,99983.3,0,0,-0,-0,230.364934
668,99768,0,0,-0,-0,230.4406159
669,99552.9,0,0,-0,-0,230.5162977
670,99337.8,0,0,-0,-0,230.5917814
671,99123,0,0,-0,-0,230.6674633
672,98908.2,0,0,-0,-0,230.7431451
673,98693.5,0,0,-0,-0,230.8186288
674,98479,0,0,-0,-0,230.8943107
675,98264.6,0,0,-0,-0,230.9697944
676,98050.3,0,0,-0,-0,231.0452781
677,97836.2,0,0,-0,-0,231.1207618
678,97622.1,0,0,-0,-0,231.1964437
679,97408.2,0,0,-0,-0,231.2719274
680,97194.4,0,0,-0,-0,231.3474111
681,96980.8,0,0,-0,-0,231.4226967
682,96767.2,0,0,-0,-0,231.4981804
683,96553.8,0,0,-0,-0,231.5736642
684,96340.5,0,0,-0,-0,231.6491479
685,96127.3,0,0,-0,-0,231.7244335
686,95914.2,0,0,-0,-0,231.7997191
687,95701.3,0,0,-0,-0,231.8752028
688,95488.5,0,0,-0,-0,231.9504884
689,95275.8,0,0,-0,-0,232.025774
690,95063.2,0,0,-0,-0,232.1010596
691,94850.7,0,0,-0,-0,232.1763452
692,94638.4,0,0,-0,-0,232.2516308
693,94426.2,0,0,-0,-0,232.3269164
694,94214.1,0,0,-0,-0,232.4020039
695,94002.1,0,0,-0,-0,232.4772895
696,93790.2,0,0,-0,-0,232.552377
697,93578.5,0,0,-0,-0,232.6274644
698,93366.9,0,0,-0,-0,232.70275
699,93155.4,0,0,-0,-0,232.7778375
700,92944,0,0,-0,-0,232.852925
701,92732.7,0,0,-0,-0,232.9278144
702,92521.6,0,0,-0,-0,233.0029018
703,92306,0,0,-0,-0,233.0779893
704,92088.8,0,0,-0,-0,233.1528787
705,91871.8,0,0,-0,-0,233.2279662
706,91655,0,0,-0,-0,233.3028555
707,91438.5,0,0,-0,-0,233.3775468
708,91222.2,0,0,-0,-0,233.452238
709,91006.1,0,0,-0,-0,233.526533
710,90790.2,0,0,-0,-0,233.6006299
711,90574.5,0,0,-0,-0,233.6745286
712,90358.9,0,0,-0,-0,233.7484274
713,90143.6,0,0,-0,-0,233.822128
714,89928.4,0,0,-0,-0,233.8958287
715,89713.3,0,0,-0,-0,233.9695293
716,89498.3,0,0,-0,-0,234.04323
717,89283.5,0,0,-0,-0,234.1169306
718,89068.7,0,0,-0,-0,234.1908294
719,88854.1,0,0,-0,-0,234.2647281
720,88639.5,0,0,-0,-0,234.338825
721,88425,0,0,-0,-0,234.4129219
722,88210.7,0,0,-0,-0,234.4872169
723,87996.4,0,0,-0,-0,234.56171
724,87782.1,0,0,-0,-0,234.6362031
725,87568,0,0,-0,-0,234.7108944
726,87354,0,0,-0,-0,234.7855856
727,87140,0,0,-0,-0,234.860475
728,86926.2,0,0,-0,-0,234.9353643
729,86712.4,0,0,-0,-0,235.0102537
730,86498.8,0,0,-0,-0,235.0853412
731,86285.2,0,0,-0,-0,235.1604286
732,86071.8,0,0,-0,-0,235.235318
733,85858.5,0,0,-0,-0,235.3104055
734,85645.2,0,0,-0,-0,235.3856911
735,85432.1,0,0,-0,-0,235.4607786
736,85219.1,0,0,-0,-0,235.535866
737,85006.2,0,0,-0,-0,235.6111516
738,84793.4,0,0,-0,-0,235.6862391
739,84580.7,0,0,-0,-0,235.7615247
740,84368.2,0,0,-0,-0,235.8366122
741,84155.8,0,0,-0,-0,235.9118978
742,83943.4,0,0,-0,-0,235.9871834
743,83731.2,0,0,-0,-0,236.062469
744,83519.2,0,0,-0,-0,236.1375565
745,83307.2,0,0,-0,-0,236.2128421
746,83095.4,0,0,-0,-0,236.2881277
747,82883.7,0,0,-0,-0,236.3634133
748,82672.1,0,0,-0,-0,236.4386989
749,82460.6,0,0,-0,-0,236.5139845
750,82249.3,0,0,-0,-0,236.5892701
751,82038,0,0,-0,-0,236.6645557
752,81826.9,0,0,-0,-0,236.7398413
753,81615.9,0,0,-0,-0,236.815325
754,81405.1,0,0,-0,-0,236.8906106
755,81194.4,0,0,-0,-0,236.9658962
756,80983.7,0,0,-0,-0,237.0411818
757,80773.3,0,0,-0,-0,237.1164674
758,80562.9,0,0,-0,-0,237.191753
759,80352.7,0,0,-0,-0,237.2670386
760,80142.5,0,0,-0,-0,237.3423242
761,79932.5,0,0,-0,-0,237.4176098
762,79722.7,0,0,-0,-0,237.4928954
763,79512.9,0,0,-0,-0,237.568181
764,79303.3,0,0,-0,-0,237.6434666
765,79093.8,0,0,-0,-0,237.7187522
766,78884.4,0,0,-0,-0,237.7940378
767,78675.2,0,0,-0,-0,237.8693234
768,78466.1,0,0,-0,-0,237.944609
769,78257,0,0,-0,-0,238.0198946
770,78048.2,0,0,-0,-0,238.0949821
771,77839.4,0,0,-0,-0,238.1702677
772,77630.8,0,0,-0,-0,238.2453552
773,77422.2,0,0,-0,-0,238.3206408
774,77213.9,0,0,-0,-0,238.3957282
775,77005.6,0,0,-0,-0,238.4708157
776,76797.4,0,0,-0,-0,238.5461013
777,76589.4,0,0,-0,-0,238.6211888
778,76381.5,0,0,-0,-0,238.6962763
779,76173.7,0,0,-0,-0,238.7713638
780,75966.1,0,0,-0,-0,238.8464512
781,75758.5,0,0,-0,-0,238.9213406
782,75551.1,0,0,-0,-0,238.9964281
783,75343.8,0,0,-0,-0,239.0715156
784,75136.6,0,0,-0,-0,239.1464049
785,74929.6,0,0,-0,-0,239.2212943
786,74722.7,0,0,-0,-0,239.2963818
787,74515.9,0,0,-0,-0,239.3712711
788,74309.2,0,0,-0,-0,239.4461605
789,74102.6,0,0,-0,-0,239.5210498
790,73896.2,0,0,-0,-0,239.5959392
791,73689.8,0,0,-0,-0,239.6706304
792,73483.6,0,0,-0,-0,239.7455198
793,73277.5,0,0,-0,-0,239.820211
794,73071.6,0,0,-0,-0,239.8951004
795,72865.7,0,0,-0,-0,239.9697916
796,72660,0,0,-0,-0,240.0444829
797,72454.4,0,0,-0,-0,240.1191741
798,72248.9,0,0,-0,-0,240.1938654
799,72043.6,0,0,-0,-0,240.2685566
800,71838.3,0,0,-0,-0,240.3430497
801,71633.2,0,0,-0,-0,240.417741
802,71428.2,0,0,-0,-0,240.4922341
803,71223.3,0,0,-0,-0,240.5667272
804,71018.5,0,0,-0,-0,240.6414184
805,70813.9,0,0,-0,-0,240.7159116
806,70609.4,0,0,-0,-0,240.7902066
807,70405,0,0,-0,-0,240.8646997
808,70200.7,0,0,-0,-0,240.9391928
809,69996.5,0,0,-0,-0,241.0134878
810,69792.4,0,0,-0,-0,241.0877828
811,69588.5,0,0,-0,-0,241.1622759
812,69384.7,0,0,-0,-0,241.2365709
813,69181,0,0,-0,-0,241.3108659
814,68977.4,0,0,-0,-0,241.3849628
815,68773.9,0,0,-0,-0,241.4592578
816,68570.6,0,0,-0,-0,241.5333547
817,68367.4,0,0,-0,-0,241.6076497
818,68164.3,0,0,-0,-0,241.6817466
819,67961.3,0,0,-0,-0,241.7558434
820,67758.4,0,0,-0,-0,241.8299403
821,67555.6,0,0,-0,-0,241.9040372
822,67353,0,0,-0,-0,241.977936
823,67150.5,0,0,-0,-0,242.0520328
824,66948.1,0,0,-0,-0,242.1259316
825,66745.8,0,0,-0,-0,242.1998303
826,66543.6,0,0,-0,-0,242.2737291
827,66341.5,0,0,-0,-0,242.3476279
828,66139.6,0,0,-0,-0,242.4215266
829,65937.8,0,0,-0,-0,242.4952273
830,65736,0,0,-0,-0,242.569126
831,65534.4,0,0,-0,-0,242.6428267
832,65333,0,0,-0,-0,242.7165273
833,65131.6,0,0,-0,-0,242.7902279
834,64930.3,0,0,-0,-0,242.8639286
835,64729.2,0,0,-0,-0,242.9376292
836,64528.2,0,0,-0,-0,243.0111317
837,64327.3,0,0,-0,-0,243.0848324
838,64126.5,0,0,-0,-0,243.1583349
839,63925.8,0,0,-0,-0,243.2318374
840,63725.3,0,0,-0,-0,243.3053399
841,63524.8,0,0,-0,-0,243.3788425
842,63324.5,0,0,-0,-0,243.4521469
843,63124.3,0,0,-0,-0,243.5256494
844,62924.2,0,0,-0,-0,243.5989538
845,62724.2,0,0,-0,-0,243.6722582
846,62524.3,0,0,-0,-0,243.7455626
847,62324.5,0,0,-0,-0,243.818867
848,62124.9,0,0,-0,-0,243.8921714
849,61925.3,0,0,-0,-0,243.9652777
850,61725.9,0,0,-0,-0,244.0385821
851,61526.6,0,0,-0,-0,244.1116883
852,61327.4,0,0,-0,-0,244.1847946
853,61128.3,0,0,-0,-0,244.2579009
854,60929.4,0,0,-0,-0,244.3310072
855,60730.5,0,0,-0,-0,244.4039153
856,60531.8,0,0,-0,-0,244.4770216
857,60333.1,0,0,-0,-0,244.5499298
858,60134.6,0,0,-0,-0,244.6228379
859,59936.2,0,0,-0,-0,244.6957461
860,59737.9,0,0,-0,-0,244.7686543
861,59539.7,0,0,-0,-0,244.8415624
862,59341.6,0,0,-0,-0,244.9142725
863,59143.7,0,0,-0,-0,244.9871806
864,58945.8,0,0,-0,-0,245.0598907
865,58748.1,0,0,-0,-0,245.1326007
866,58550.5,0,0,-0,-0,245.2053107
867,58352.9,0,0,-0,-0,245.2780208
868,58155.5,0,0,-0,-0,245.3505327
869,57958.2,0,0,-0,-0,245.4232427
870,57761.1,0,0,-0,-0,245.4957547
871,57564,0,0,-0,-0,245.5682666
872,57367,0,0,-0,-0,245.6407785
873,57170.2,0,0,-0,-0,245.7132904
874,56973.4,0,0,-0,-0,245.7858023
875,56776.8,0,0,-0,-0,245.8581161
876,56580.3,0,0,-0,-0,245.9304299
877,56383.9,0,0,-0,-0,246.0029419
878,56187.5,0,0,-0,-0,246.0752557
879,55991.4,0,0,-0,-0,246.1475695
880,55795.3,0,0,-0,-0,246.2196851
881,55599.3,0,0,-0,-0,246.2919989
882,55403.4,0,0,-0,-0,246.3641146
883,55207.7,0,0,-0,-0,246.4362303
884,55012,0,0,-0,-0,246.5085441
885,54816.5,0,0,-0,-0,246.5804617
886,54621.1,0,0,-0,-0,246.6525773
887,54425.7,0,0,-0,-0,246.724693
888,54230.5,0,0,-0,-0,246.7966106
889,54035.4,0,0,-0,-0,246.8687263
890,53840.4,0,0,-0,-0,246.9406438
891,53645.5,0,0,-0,-0,247.0125614
892,53450.8,0,0,-0,-0,247.0844789
893,53256.1,0,0,-0,-0,247.1561984
894,53061.5,0,0,-0,-0,247.2281159
895,52867.1,0,0,-0,-0,247.2998354
896,52672.7,0,0,-0,-0,247.3715548
897,52478.5,0,0,-0,-0,247.4432743
898,52284.3,0,0,-0,-0,247.5149937
899,52090.3,0,0,-0,-0,247.5867131
900,51896.4,0,0,-0,-0,247.6584326
901,51702.6,0,0,-0,-0,247.7299539
902,51508.9,0,0,-0,-0,247.8014752
903,51315.3,0,0,-0,-0,247.8729965
904,51121.8,0,0,-0,-0,247.9445179
905,50928.4,0,0,-0,-0,248.0160392
906,50735.1,0,0,-0,-0,248.0875605
907,50541.9,0,0,-0,-0,248.1588837
908,50348.9,0,0,-0,-0,248.230405
909,50155.9,0,0,-0,-0,248.3017282
910,49963.1,0,0,-0,-0,248.3730514
911,49770.3,0,0,-0,-0,248.4443746
912,49577.7,0,0,-0,-0,248.5154997
913,49385.1,0,0,-0,-0,248.5868229
914,49192.7,0,0,-0,-0,248.657948
915,49000.4,0,0,-0,-0,248.7292712
916,48808.1,0,0,-0,-0,248.8003963
917,48616,0,0,-0,-0,248.8715213
918,48424,0,0,-0,-0,248.9424483
919,48232.1,0,0,-0,-0,249.0135734
920,48040.3,0,0,-0,-0,249.0845003
921,47848.6,0,0,-0,-0,249.1556254
922,47657,0,0,-0,-0,249.2265524
923,47465.5,0,0,-0,-0,249.2974793
924,47274.1,0,0,-0,-0,249.3684063
925,47082.8,0,0,-0,-0,249.4391351
926,46891.7,0,0,-0,-0,249.5100621
927,46700.6,0,0,-0,-0,249.5807909
928,46509.6,0,0,-0,-0,249.6515198
929,46318.7,0,0,-0,-0,249.7222486
930,46128,0,0,-0,-0,249.7929775
931,45937.3,0,0,-0,-0,249.8637063
932,45746.8,0,0,-0,-0,249.9344351
933,45556.3,0,0,-0,-0,250.0049659
934,45366,0,0,-0,-0,250.0754966
935,45175.7,0,0,-0,-0,250.1460273
936,44985.6,0,0,-0,-0,250.216558
937,44795.5,0,0,-0,-0,250.2870887
938,44605.6,0,0,-0,-0,250.3576195
939,44415.7,0,0,-0,-0,250.4279521
940,44226,0,0,-0,-0,250.4984828
941,44036.4,0,0,-0,-0,250.5688154
942,43846.8,0,0,-0,-0,250.639148
943,43657.4,0,0,-0,-0,250.7094806
944,43468.1,0,0,-0,-0,250.7796151
945,43278.9,0,0,-0,-0,250.8499477
946,43089.7,0,0,-0,-0,250.9200821
947,42900.7,0,0,-0,-0,250.9902166
948,42711.8,0,0,-0,-0,251.0605492
949,42523,0,0,-0,-0,251.1304856
950,42334.2,0,0,-0,-0,251.2006201
951,42145.6,0,0,-0,-0,251.2707545
952,41957.1,0,0,-0,-0,251.3406909
953,41768.7,0,0,-0,-0,251.4108254
954,41580.4,0,0,-0,-0,251.4807617
955,41392.2,0,0,-0,-0,251.5506981
956,41204,0,0,-0,-0,251.6206345
957,41016,0,0,-0,-0,251.6903727
958,40828.1,0,0,-0,-0,251.7603091
959,40640.3,0,0,-0,-0,251.8300473
960,40452.6,0,0,-0,-0,251.8997855
961,40265,0,0,-0,-0,251.9695238
962,40077.5,0,0,-0,-0,252.039262
963,39890.1,0,0,-0,-0,252.1090003
964,39702.7,0,0,-0,-0,252.1787385
965,39515.5,0,0,-0,-0,252.2482786
966,39328.4,0,0,-0,-0,252.3178187
967,39141.4,0,0,-0,-0,252.387557
968,38954.5,0,0,-0,-0,252.4570971
969,38767.7,0,0,-0,-0,252.5264391
970,38580.9,0,0,-0,-0,252.5959792
971,38394.3,0,0,-0,-0,252.6655193
972,38207.8,0,0,-0,-0,252.7348613
973,38021.4,0,0,-0,-0,252.8042033
974,37835,0,0,-0,-0,252.8735453
975,37648.8,0,0,-0,-0,252.9428873
976,37462.7,0,0,-0,-0,253.0122293
977,37276.7,0,0,-0,-0,253.0815713
978,37090.7,0,0,-0,-0,253.1507152
979,36904.9,0,0,-0,-0,253.2198591
980,36719.2,0,0,-0,-0,253.289003
981,36533.5,0,0,-0,-0,253.3581469
982,36348,0,0,-0,-0,253.4272907
983,36162.5,0,0,-0,-0,253.4964346
984,35977.2,0,0,-0,-0,253.5653804
985,35791.9,0,0,-0,-0,253.6345243
986,35606.8,0,0,-0,-0,253.70347
987,35421.7,0,0,-0,-0,253.7724158
988,35236.8,0,0,-0,-0,253.8413615
989,35051.9,0,0,-0,-0,253.9103073
990,34867.2,0,0,-0,-0,253.9790549
991,34682.5,0,0,-0,-0,254.0480007
992,34497.9,0,0,-0,-0,254.1167483
993,34313.4,0,0,-0,-0,254.185496
994,34129.1,0,0,-0,-0,254.2542436
995,33944.8,0,0,-0,-0,254.3229913
996,33760.6,0,0,-0,-0,254.3917389
997,33576.5,0,0,-0,-0,254.4602884
998,33392.5,0,0,-0,-0,254.5290361
999,33208.6,0,0,-0,-0,254.5975856
1000,33024.8,0,0,-0,-0,254.6661351
1001,32841.1,0,0,-0,-0,254.7346846
1002,32657.5,0,0,-0,-0,254.8032341
1003,32474,0,0,-0,-0,254.8715855
1004,32290.6,0,0,-0,-0,254.9401351
1005,32107.2,0,0,-0,-0,255.0084865
1006,31924,0,0,-0,-0,255.0768379
1007,31740.9,0,0,-0,-0,255.1451893
1008,31557.8,0,0,-0,-0,255.2135407
1009,31374.9,0,0,-0,-0,255.281892
1010,31192,0,0,-0,-0,255.3500453
1011,31009.3,0,0,-0,-0,255.4183967
1012,30826.6,0,0,-0,-0,255.48655
1013,30644.1,0,0,-0,-0,255.5547033
1014,30461.6,0,0,-0,-0,255.6228566
1015,30279.2,0,0,-0,-0,255.6910098
1016,30096.9,0,0,-0,-0,255.758965
1017,29914.7,0,0,-0,-0,255.8271183
1018,29732.6,0,0,-0,-0,255.8950734
1019,29550.6,0,0,-0,-0,255.9632267
1020,29368.7,0,0,-0,-0,256.0311819
1021,29186.9,0,0,-0,-0,256.0989389
1022,29005.2,0,0,-0,-0,256.1668941
1023,28823.5,0,0,-0,-0,256.2348492
1024,28642,0,0,-0,-0,256.3026063
1025,28460.6,0,0,-0,-0,256.3703633
1026,28279.2,0,0,-0,-0,256.4383185
1027,28098,0,0,-0,-0,256.5060755
1028,27916.8,0,0,-0,-0,256.5736344
1029,27735.7,0,0,-0,-0,256.6413915
1030,27554.7,0,0,-0,-0,256.7091485
1031,27373.9,0,0,-0,-0,256.7767074
1032,27193.1,0,0,-0,-0,256.8442664
1033,27012.4,0,0,-0,-0,256.9118253
1034,26831.7,0,0,-0,-0,256.9793842
1035,26651.2,0,0,-0,-0,257.0469431
1036,26470.8,0,0,-0,-0,257.114502
1037,26290.5,0,0,-0,-0,257.1818628
1038,26110.2,0,0,-0,-0,257.2492236
1039,25930.1,0,0,-0,-0,257.3167826
1040,25750,0,0,-0,-0,257.3841434
1041,25570,0,0,-0,-0,257.451306
1042,25390.2,0,0,-0,-0,257.5186668
1043,25210.4,0,0,-0,-0,257.5860276
1044,25030.7,0,0,-0,-0,257.6531903
1045,24851.1,0,0,-0,-0,257.720353
1046,24671.6,0,0,-0,-0,257.7877138
1047,24492.1,0,0,-0,-0,257.8548765
1048,24312.8,0,0,-0,-0,257.921841
1049,24133.6,0,0,-0,-0,257.9890037
1050,23954.4,0,0,-0,-0,258.0561664
1051,23775.4,0,0,-0,-0,258.123131
1052,23596.4,0,0,-0,-0,258.1900955
1053,23417.5,0,0,-0,-0,258.2570601
1054,23238.7,0,0,-0,-0,258.3240246
1055,23060,0,0,-0,-0,258.3909892
1056,22881.4,0,0,-0,-0,258.4579538
1057,22702.9,0,0,-0,-0,258.5247202
1058,22524.5,0,0,-0,-0,258.5914866
1059,22346.1,0,0,-0,-0,258.6584512
1060,22167.9,0,0,-0,-0,258.7252176
1061,21989.7,0,0,-0,-0,258.791786
1062,21811.6,0,0,-0,-0,258.8585524
1063,21633.7,0,0,-0,-0,258.9253188
1064,21455.8,0,0,-0,-0,258.9918872
1065,21278,0,0,-0,-0,259.0586536
1066,21100.2,0,0,-0,-0,259.1250238
1067,20922.6,0,0,-0,-0,259.1911959
1068,20745,0,0,-0,-0,259.2567736
1069,20567.5,0,0,-0,-0,259.3213607
1070,20390.1,0,0,-0,-0,259.3841648
1071,20212.6,0,0,-0,-0,259.4441951
1072,20035.2,0,0,-0,-0,259.5002631
1073,19857.9,0,0,-0,-0,259.5521705
1074,19680.6,0,0,-0,-0,259.5997193
1075,19503.4,0,0,-0,-0,259.6431076
1076,19326.3,0,0,-0,-0,259.6827316
1077,19149.4,0,0,-0,-0,259.7185913
1078,18972.7,0,0,-0,-0,259.7512811
1079,18796.1,0,0,-0,-0,259.780801
1080,18619.7,0,0,-0,-0,259.8077453
1081,18443.6,0,0,-0,-0,259.8321141
1082,18267.6,0,0,-0,-0,259.8545016
1083,18092,0,0,-0,-0,259.874908
1084,17916.6,0,0,-0,-0,259.8935313
1085,17741.5,0,0,-0,-0,259.9107677
1086,17566.6,0,0,-0,-0,259.9272117
1087,17392.1,0,0,-0,-0,259.9430613
1088,17217.8,0,0,-0,-0,259.9585146
1089,17043.9,0,0,-0,-0,259.9737699
1090,16870.2,0,0,-0,-0,259.9890251
1091,16696.9,0,0,-0,-0,260.0040822
1092,16523.8,0,0,-0,-0,260.0191394
1093,16351.1,0,0,-0,-0,260.0339984
1094,16178.6,0,0,-0,-0,260.0490555
1095,16006.5,0,0,-0,-0,260.0639145
1096,15834.7,0,0,-0,-0,260.0789716
1097,15663.2,0,0,-0,-0,260.0938306
1098,15492,0,0,-0,-0,260.1088877
1099,15321.1,0,0,-0,-0,260.1239448
1100,15150.5,0,0,-0,-0,260.1388038
1101,14980.2,0,0,-0,-0,260.153861
1102,14810.3,0,0,-0,-0,260.1689181
1103,14640.6,0,0,-0,-0,260.1837771
1104,14471.3,0,0,-0,-0,260.1988342
1105,14302.3,0,0,-0,-0,260.2138913
1106,14133.6,0,0,-0,-0,260.2289484
1107,13965.2,0,0,-0,-0,260.2440056
1108,13797.2,0,0,-0,-0,260.2590627
1109,13629.4,0,0,-0,-0,260.2741198
1110,13462,0,0,-0,-0,260.2891769
1111,13294.9,0,0,-0,-0,260.304234
1112,13128.1,0,0,-0,-0,260.3192912
1113,12961.6,0,0,-0,-0,260.3343483
1114,12795.5,0,0,-0,-0,260.3494054
1115,12629.7,0,0,-0,-0,260.3644625
1116,12464.2,0,0,-0,-0,260.3795196
1117,12299,0,0,-0,-0,260.3945768
1118,12134.1,0,0,-0,-0,260.4096339
1119,11969.6,0,0,-0,-0,260.4244929
1120,11805.4,0,0,-0,-0,260.43955
1121,11641.5,0,0,-0,-0,260.4546071
1122,11477.9,0,0,-0,-0,260.4696642
1123,11314.7,0,0,-0,-0,260.4845232
1124,11151.8,0,0,-0,-0,260.4995804
1125,10989.2,0,0,-0,-0,260.5146375
1126,10826.9,0,0,-0,-0,260.5294965
1127,10665,0,0,-0,-0,260.5445536
1128,10503.4,0,0,-0,-0,260.5594126
1129,10342.1,0,0,-0,-0,260.5742716
1130,10181.1,0,0,-0,-0,260.5893287
1131,10020.5,0,0,-0,-0,260.6041877
1132,9860.19,0,0,-0,-0,260.6190467
1133,9700.21,0,0,-0,-0,260.6339057
1134,9540.57,0,0,-0,-0,260.6487647
1135,9381.25,0,0,-0,-0,260.6636237
1136,9222.27,0,0,-0,-0,260.6784827
1137,9063.61,0,0,-0,-0,260.6933417
1138,8905.28,0,0,-0,-0,260.7082007
1139,8747.29,0,0,-0,-0,260.7228616
1140,8589.62,0,0,-0,-0,260.7377206
1141,8432.29,0,0,-0,-0,260.7523815
1142,8275.28,0,0,-0,-0,260.7672405
1143,8118.61,0,0,-0,-0,260.7819014
1144,7962.27,0,0,-0,-0,260.7965622
1145,7806.27,0,0,-0,-0,260.8112231
1146,7650.59,0,0,-0,-0,260.825884
1147,7495.25,0,0,-0,-0,260.8405449
1148,7340.24,0,0,-0,-0,260.8552058
1149,7185.57,0,0,-0,-0,260.8698666
1150,7031.23,0,0,-0,-0,260.8845275
1151,6877.22,0,0,-0,-0,260.8989903
1152,6723.55,0,0,-0,-0,260.9136512
1153,6570.21,0,0,-0,-0,260.9281139
1154,6417.21,0,0,-0,-0,260.9425767
1155,6264.54,0,0,-0,-0,260.9572376
1156,6112.21,0,0,-0,-0,260.9717003
1157,5960.22,0,0,-0,-0,260.9861631
1158,5808.56,0,0,-0,-0,261.0006258
1159,5657.24,0,0,-0,-0,261.0150886
1160,5506.25,0,0,-0,-0,261.0293532
1161,5355.61,0,0,-0,-0,261.043816
1162,5205.3,0,0,-0,-0,261.0582788
1163,5055.33,0,0,-0,-0,261.0725434
1164,4905.7,0,0,-0,-0,261.0870062
1165,4756.4,0,0,-0,-0,261.1012708
1166,4607.45,0,0,-0,-0,261.1155354
1167,4458.84,0,0,-0,-0,261.1299982
1168,4310.57,0,0,-0,-0,261.1442628
1169,4162.63,0,0,-0,-0,261.1585275
1170,4015.04,0,0,-0,-0,261.1727921
1171,3867.79,0,0,-0,-0,261.1870568
1172,3720.89,0,0,-0,-0,261.2011233
1173,3574.32,0,0,-0,-0,261.2153879
1174,3428.1,0,0,-0,-0,261.2296526
1175,3282.22,0,0,-0,-0,261.2437191
1176,3136.68,0,0,-0,-0,261.2579837
1177,2991.49,0,0,-0,-0,261.2720502
1178,2846.64,0,0,-0,-0,261.2861168
1179,2702.14,0,0,-0,-0,261.3001833
1180,2557.98,0,0,-0,-0,261.3142498
1181,2414.17,0,0,-0,-0,261.3283163
1182,2270.7,0,0,-0,-0,261.3423828
1183,2127.57,0,0,-0,-0,261.3564494
1184,1984.8,0,0,-0,-0,261.3705159
1185,1842.37,0,0,-0,-0,261.3843843
1186,1700.29,0,0,-0,-0,261.3984508
1187,1558.55,0,0,-0,-0,261.4123192
1188,1417.17,0,0,-0,-0,261.4263857
1189,1276.13,0,0,-0,-0,261.4402541
1190,1135.44,0,0,-0,-0,261.4541225
1191,995.094,0,0,-0,-0,261.4679909
1192,855.101,0,0,-0,-0,261.4818593
1193,715.458,0,0,-0,-0,261.4955296
1194,576.165,0,0,-0,-0,261.509398
1195,437.222,0,0,-0,-0,261.5232664
1196,298.63,0,0,-0,-0,261.5369367
1197,160.389,0,0,-0,-0,261.5508051
1198,22.5002,0,0,-0,-0,261.5644754
1199,-115.037,0,0,-0,-0,261.5781456
