Time[sec], DTG[m], V(tas)[m/s], vRate[m/s], x[m], y[m], h[m], gs[fps]
65,230691.74048,242.590,-0.000,198968.98343,53098.81528,10668.00000,690.14465
66,230481.94499,242.003,-0.000,198759.18938,53097.98363,10668.00000,688.30610
67,230272.75302,241.373,-0.000,198549.99835,53097.24774,10668.00000,686.32651
68,230064.19233,240.717,-0.000,198341.43813,53096.60305,10668.00000,684.25597
69,229856.28080,240.044,-0.000,198133.52661,53096.04183,10668.00000,682.12687
70,229649.02988,239.362,-0.000,197926.27533,53095.55441,10668.00000,679.96016
71,229442.44685,238.674,-0.000,197719.69162,53095.13012,10668.00000,677.76951
72,229236.53627,237.985,-0.000,197513.78008,53094.75794,10668.00000,675.56392
73,229031.30081,237.294,-0.000,197308.54345,53094.42704,10668.00000,673.34938
74,228826.74195,236.604,-0.000,197103.98327,53094.12707,10668.00000,671.12995
75,228622.86027,235.914,-0.000,196900.10016,53093.84843,10668.00000,668.90846
76,228419.65807,235.227,-0.000,196696.89646,53093.58279,10668.00000,666.67936
77,228217.13600,234.541,-0.000,196494.37288,53093.32256,10668.00000,664.44799
78,228015.31454,233.836,-0.000,196292.54991,53093.06473,10668.00000,662.14939
79,227814.21156,233.114,-0.000,196091.44543,53092.80685,10668.00000,659.79215
80,227613.84263,232.377,-0.000,195891.07502,53092.54679,10668.00000,657.38379
81,227414.22131,231.627,-0.000,195691.45225,53092.28268,10668.00000,654.93091
82,227215.35938,230.865,-0.000,195492.58891,53092.01283,10668.00000,652.43938
83,227017.26702,230.094,-0.000,195294.49520,53091.73565,10668.00000,649.91438
84,226819.95304,229.315,-0.000,195097.17992,53091.44970,10668.00000,647.36052
85,226623.42496,228.529,-0.000,194900.65061,53091.15360,10668.00000,644.78193
86,226427.68920,227.737,-0.000,194704.91370,53090.84612,10668.00000,642.18228
87,226232.75119,226.940,-0.000,194509.97460,53090.52612,10668.00000,639.56484
88,226038.61543,226.139,-0.000,194315.83785,53090.19256,10668.00000,636.93254
89,225845.28055,225.339,-0.000,194122.50207,53089.84362,10668.00000,634.30476
90,225652.71359,224.574,-0.000,193929.93434,53089.47177,10668.00000,631.78508
91,225460.86135,223.862,-0.000,193738.08152,53089.06595,10668.00000,629.43978
92,225269.65896,223.218,-0.000,193546.87881,53088.61344,10668.00000,627.30724
93,225079.03609,222.644,-0.000,193356.25595,53088.10140,10668.00000,625.40534
94,224888.92144,222.143,-0.000,193166.14170,53087.51812,10668.00000,623.73734
95,224699.24582,221.712,-0.000,192976.46691,53086.85379,10668.00000,622.29643
96,224509.94410,221.346,-0.000,192787.16652,53086.10105,10668.00000,621.06920
97,224320.95652,221.040,-0.000,192598.18075,53085.25521,10668.00000,620.03826
98,224132.22919,220.787,-0.000,192409.45576,53084.31423,10668.00000,619.18418
99,223943.69445,220.602,-0.000,192220.92388,53083.27477,10668.00000,618.55229
100,223755.29977,220.468,-0.000,192032.53259,53082.13748,10668.00000,618.09294
101,223567.00473,220.373,-0.000,191844.24144,53080.90634,10668.00000,617.76632
102,223378.77856,220.306,-0.000,191656.01963,53079.58801,10668.00000,617.54077
103,223190.59809,220.262,-0.000,191467.84395,53078.19102,10668.00000,617.39131
104,223002.44609,220.232,-0.000,191279.69710,53076.72513,10668.00000,617.29842
105,222814.30992,220.212,-0.000,191091.56639,53075.20074,10668.00000,617.24699
106,222626.18045,220.200,-0.000,190903.44264,53073.62839,10668.00000,617.22547
